Reservoir,Station,Date,Measure,TimeOfDay,Value,Unit,Season
Бахри   Точик вдхр. (г/п Акжар),,2022-04-03,приток,утро,442.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-03,попуск,сред.,520.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-03,попуск,утро,520.0,м³/с,вегетация
г/п Кызылкишлак,,2022-04-03,расход,сред.,500.0,м³/с,вегетация
г/п Кызылкишлак,,2022-04-03,расход,утро,512.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-04-03,объем,сред.,3301.0,млн м³,вегетация
Шардаринское вдхр.,Казгидромет,2022-04-03,приток,сред.,989.3,м³/с,вегетация
Шардаринское вдхр.,Узгидромет,2022-04-03,приток,сред.,1112.3,м³/с,вегетация
Шардаринское вдхр.,,2022-04-03,попуск,сред.,954.0,м³/с,вегетация
Кызылкумский канал,,2022-04-03,расход,сред.,100.0,м³/с,вегетация
Шардаринское вдхр.,,2022-04-03,объем,сред.,5045.0,млн м³,вегетация
Чарвакское вдхр.,,2022-04-03,приток,сред.,126.0,м³/с,вегетация
река Угам,,2022-04-03,расход,сред.,31.0,м³/с,вегетация
Чарвакское вдхр.,,2022-04-03,попуск,сред.,112.0,м³/с,вегетация
сброс Газалкентской ГЭС,,2022-04-03,расход,сред.,113.0,м³/с,вегетация
Чарвакское вдхр.,,2022-04-03,объем,сред.,654.0,млн м³,вегетация
Андижанское  вдхр.,,2022-04-03,приток,сред.,120.0,м³/с,вегетация
Андижанское  вдхр.,,2022-04-03,попуск,сред.,18.0,м³/с,вегетация
Андижанское  вдхр.,,2022-04-03,объем,сред.,1078.0,млн м³,вегетация
г/п Учтепа,,2022-04-03,расход,сред.,127.0,м³/с,вегетация
г/п Каль,,2022-04-03,расход,сред.,268.0,м³/с,вегетация
г/п Каль,,2022-04-03,расход,утро,281.0,м³/с,вегетация
Рейка 01 выше Фархад. Пл,,2022-04-03,расход,сред.,319.24,м³/с,вегетация
