Reservoir,Station,Date,Measure,TimeOfDay,Value,Unit,Season
Бахри   Точик вдхр.,,2022-06-17,попуск,сред.,500.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-17,попуск,утро,500.0,м³/с,вегетация
г/п Кызылкишлак,,2022-06-17,расход,сред.,464.0,м³/с,вегетация
г/п Кызылкишлак,,2022-06-17,расход,утро,464.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-17,объем,сред.,3482.0,млн м³,вегетация
Шардаринское вдхр.,Казгидромет,2022-06-17,приток,сред.,131.7,м³/с,вегетация
Шардаринское вдхр.,Узгидромет,2022-06-17,приток,сред.,153.7,м³/с,вегетация
Шардаринское вдхр.,,2022-06-17,попуск,сред.,550.0,м³/с,вегетация
Кызылкумский канал,,2022-06-17,расход,сред.,30.0,м³/с,вегетация
Шардаринское вдхр.,,2022-06-17,объем,сред.,4344.0,млн м³,вегетация
Чарвакское вдхр.,,2022-06-17,приток,сред.,406.0,м³/с,вегетация
река Угам,,2022-06-17,расход,сред.,25.9,м³/с,вегетация
Чарвакское вдхр.,,2022-06-17,попуск,сред.,314.0,м³/с,вегетация
сброс Газалкентской ГЭС,,2022-06-17,расход,сред.,320.0,м³/с,вегетация
Чарвакское вдхр.,,2022-06-17,объем,сред.,1922.0,млн м³,вегетация
Андижанское  вдхр.,,2022-06-17,приток,сред.,271.0,м³/с,вегетация
Андижанское  вдхр.,,2022-06-17,попуск,сред.,300.0,м³/с,вегетация
Андижанское  вдхр.,,2022-06-17,объем,сред.,1594.0,млн м³,вегетация
г/п Учтепа,,2022-06-17,расход,сред.,127.0,м³/с,вегетация
г/п Каль,,2022-06-17,расход,сред.,348.0,м³/с,вегетация
г/п Каль,,2022-06-17,расход,утро,396.0,м³/с,вегетация
Рейка 01 выше Фархад. Пл,,2022-06-17,расход,сред.,319.2,м³/с,вегетация
г/п Кокбулак,,2022-06-17,расход,сред.,117.0,м³/с,вегетация
г/п Келес,,2022-06-17,расход,сред.,14.7,м³/с,вегетация
Токтогульское вдхр.,,2022-06-18,приток,сред.,1138.0,м³/с,вегетация
Токтогульское вдхр.,,2022-06-18,попуск,сред.,371.0,м³/с,вегетация
Токтогульское вдхр.,,2022-06-18,объем,сред.,11493.0,млн м³,вегетация
Сброс с Учкурганская ГЭС,,2022-06-18,Сброс,сред.,387.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-06-18,приток,сред.,413.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-06-18,приток,утро,433.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-18,попуск,сред.,500.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-18,попуск,утро,500.0,м³/с,вегетация
г/п Кызылкишлак,,2022-06-18,расход,сред.,456.0,м³/с,вегетация
г/п Кызылкишлак,,2022-06-18,расход,утро,459.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-18,объем,сред.,3467.0,млн м³,вегетация
Шардаринское вдхр.,Казгидромет,2022-06-18,приток,сред.,128.4,м³/с,вегетация
Шардаринское вдхр.,Узгидромет,2022-06-18,приток,сред.,152.4,м³/с,вегетация
Шардаринское вдхр.,,2022-06-18,попуск,сред.,534.0,м³/с,вегетация
Кызылкумский канал,,2022-06-18,расход,сред.,30.0,м³/с,вегетация
Шардаринское вдхр.,,2022-06-18,объем,сред.,4315.0,млн м³,вегетация
Чарвакское вдхр.,,2022-06-18,приток,сред.,391.0,м³/с,вегетация
река Угам,,2022-06-18,расход,сред.,24.8,м³/с,вегетация
Чарвакское вдхр.,,2022-06-18,попуск,сред.,329.0,м³/с,вегетация
сброс Газалкентской ГЭС,,2022-06-18,расход,сред.,341.0,м³/с,вегетация
Чарвакское вдхр.,,2022-06-18,объем,сред.,1935.0,млн м³,вегетация
Андижанское  вдхр.,,2022-06-18,приток,сред.,277.0,м³/с,вегетация
Андижанское  вдхр.,,2022-06-18,попуск,сред.,300.0,м³/с,вегетация
Андижанское  вдхр.,,2022-06-18,объем,сред.,1592.0,млн м³,вегетация
г/п Учтепа,,2022-06-18,расход,сред.,129.0,м³/с,вегетация
г/п Каль,,2022-06-18,расход,сред.,342.0,м³/с,вегетация
г/п Каль,,2022-06-18,расход,утро,400.0,м³/с,вегетация
Рейка 01 выше Фархад. Пл,,2022-06-18,расход,сред.,319.2,м³/с,вегетация
г/п Кокбулак,,2022-06-18,расход,сред.,113.0,м³/с,вегетация
г/п Келес,,2022-06-18,расход,сред.,15.4,м³/с,вегетация
Токтогульское вдхр.,,2022-06-19,приток,сред.,996.0,м³/с,вегетация
Токтогульское вдхр.,,2022-06-19,попуск,сред.,357.0,м³/с,вегетация
Токтогульское вдхр.,,2022-06-19,объем,сред.,11551.0,млн м³,вегетация
Сброс с Учкурганская ГЭС,,2022-06-19,Сброс,сред.,404.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-06-19,приток,сред.,381.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-06-19,приток,утро,402.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-19,попуск,сред.,500.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-19,попуск,утро,500.0,м³/с,вегетация
г/п Кызылкишлак,,2022-06-19,расход,сред.,450.0,м³/с,вегетация
г/п Кызылкишлак,,2022-06-19,расход,утро,453.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-19,объем,сред.,3458.0,млн м³,вегетация
Шардаринское вдхр.,Казгидромет,2022-06-19,приток,сред.,124.5,м³/с,вегетация
Шардаринское вдхр.,Узгидромет,2022-06-19,приток,сред.,145.5,м³/с,вегетация
Шардаринское вдхр.,,2022-06-19,попуск,сред.,538.0,м³/с,вегетация
Кызылкумский канал,,2022-06-19,расход,сред.,30.0,м³/с,вегетация
Шардаринское вдхр.,,2022-06-19,объем,сред.,4272.0,млн м³,вегетация
Чарвакское вдхр.,,2022-06-19,приток,сред.,384.0,м³/с,вегетация
река Угам,,2022-06-19,расход,сред.,25.3,м³/с,вегетация
Чарвакское вдхр.,,2022-06-19,попуск,сред.,328.0,м³/с,вегетация
сброс Газалкентской ГЭС,,2022-06-19,расход,сред.,345.0,м³/с,вегетация
Чарвакское вдхр.,,2022-06-19,объем,сред.,1947.0,млн м³,вегетация
Андижанское  вдхр.,,2022-06-19,приток,сред.,278.0,м³/с,вегетация
Андижанское  вдхр.,,2022-06-19,попуск,сред.,300.0,м³/с,вегетация
Андижанское  вдхр.,,2022-06-19,объем,сред.,1590.0,млн м³,вегетация
г/п Учтепа,,2022-06-19,расход,сред.,127.0,м³/с,вегетация
г/п Каль,,2022-06-19,расход,сред.,315.0,м³/с,вегетация
г/п Каль,,2022-06-19,расход,утро,327.0,м³/с,вегетация
Рейка 01 выше Фархад. Пл,,2022-06-19,расход,сред.,319.2,м³/с,вегетация
г/п Кокбулак,,2022-06-19,расход,сред.,109.0,м³/с,вегетация
г/п Келес,,2022-06-19,расход,сред.,15.5,м³/с,вегетация
Токтогульское вдхр.,,2022-06-20,приток,сред.,820.0,м³/с,вегетация
Токтогульское вдхр.,,2022-06-20,попуск,сред.,360.0,м³/с,вегетация
Токтогульское вдхр.,,2022-06-20,объем,сред.,11606.0,млн м³,вегетация
Сброс с Учкурганская ГЭС,,2022-06-20,Сброс,сред.,443.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-06-20,приток,сред.,373.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-06-20,приток,утро,355.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-20,попуск,сред.,500.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-20,попуск,утро,500.0,м³/с,вегетация
г/п Кызылкишлак,,2022-06-20,расход,сред.,453.0,м³/с,вегетация
г/п Кызылкишлак,,2022-06-20,расход,утро,444.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-20,объем,сред.,3438.0,млн м³,вегетация
Шардаринское вдхр.,Казгидромет,2022-06-20,приток,сред.,122.3,м³/с,вегетация
Шардаринское вдхр.,Узгидромет,2022-06-20,приток,сред.,142.3,м³/с,вегетация
Шардаринское вдхр.,,2022-06-20,попуск,сред.,546.0,м³/с,вегетация
Кызылкумский канал,,2022-06-20,расход,сред.,30.0,м³/с,вегетация
Шардаринское вдхр.,,2022-06-20,объем,сред.,4228.0,млн м³,вегетация
Чарвакское вдхр.,,2022-06-20,приток,сред.,378.0,м³/с,вегетация
река Угам,,2022-06-20,расход,сред.,24.2,м³/с,вегетация
Чарвакское вдхр.,,2022-06-20,попуск,сред.,342.0,м³/с,вегетация
сброс Газалкентской ГЭС,,2022-06-20,расход,сред.,345.0,м³/с,вегетация
Чарвакское вдхр.,,2022-06-20,объем,сред.,1955.0,млн м³,вегетация
Андижанское  вдхр.,,2022-06-20,приток,сред.,234.0,м³/с,вегетация
Андижанское  вдхр.,,2022-06-20,попуск,сред.,260.0,м³/с,вегетация
Андижанское  вдхр.,,2022-06-20,объем,сред.,1588.0,млн м³,вегетация
г/п Учтепа,,2022-06-20,расход,сред.,116.0,м³/с,вегетация
г/п Каль,,2022-06-20,расход,сред.,315.0,м³/с,вегетация
г/п Каль,,2022-06-20,расход,утро,370.0,м³/с,вегетация
Рейка 01 выше Фархад. Пл,,2022-06-20,расход,сред.,319.2,м³/с,вегетация
г/п Кокбулак,,2022-06-20,расход,сред.,107.0,м³/с,вегетация
г/п Келес,,2022-06-20,расход,сред.,15.3,м³/с,вегетация
Токтогульское вдхр.,,2022-06-21,приток,сред.,736.0,м³/с,вегетация
Токтогульское вдхр.,,2022-06-21,попуск,сред.,376.0,м³/с,вегетация
Токтогульское вдхр.,,2022-06-21,объем,сред.,11636.0,млн м³,вегетация
Сброс с Учкурганская ГЭС,,2022-06-21,Сброс,сред.,420.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-06-21,приток,сред.,386.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-06-21,приток,утро,394.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-21,попуск,сред.,500.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-21,попуск,утро,500.0,м³/с,вегетация
г/п Кызылкишлак,,2022-06-21,расход,сред.,456.0,м³/с,вегетация
г/п Кызылкишлак,,2022-06-21,расход,утро,456.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-21,объем,сред.,3443.0,млн м³,вегетация
Шардаринское вдхр.,Казгидромет,2022-06-21,приток,сред.,126.3,м³/с,вегетация
Шардаринское вдхр.,Узгидромет,2022-06-21,приток,сред.,192.3,м³/с,вегетация
Шардаринское вдхр.,,2022-06-21,попуск,сред.,558.0,м³/с,вегетация
Кызылкумский канал,,2022-06-21,расход,сред.,30.0,м³/с,вегетация
Шардаринское вдхр.,,2022-06-21,объем,сред.,4178.0,млн м³,вегетация
Чарвакское вдхр.,,2022-06-21,приток,сред.,363.0,м³/с,вегетация
река Угам,,2022-06-21,расход,сред.,22.4,м³/с,вегетация
Чарвакское вдхр.,,2022-06-21,попуск,сред.,358.0,м³/с,вегетация
сброс Газалкентской ГЭС,,2022-06-21,расход,сред.,369.0,м³/с,вегетация
Чарвакское вдхр.,,2022-06-21,объем,сред.,1965.0,млн м³,вегетация
Андижанское  вдхр.,,2022-06-21,приток,сред.,238.0,м³/с,вегетация
Андижанское  вдхр.,,2022-06-21,попуск,сред.,260.0,м³/с,вегетация
Андижанское  вдхр.,,2022-06-21,объем,сред.,1586.0,млн м³,вегетация
г/п Учтепа,,2022-06-21,расход,сред.,102.0,м³/с,вегетация
г/п Каль,,2022-06-21,расход,сред.,315.0,м³/с,вегетация
г/п Каль,,2022-06-21,расход,утро,376.0,м³/с,вегетация
Рейка 01 выше Фархад. Пл,,2022-06-21,расход,сред.,319.2,м³/с,вегетация
г/п Кокбулак,,2022-06-21,расход,сред.,106.0,м³/с,вегетация
г/п Келес,,2022-06-21,расход,сред.,20.3,м³/с,вегетация
Токтогульское вдхр.,,2022-06-22,приток,сред.,732.0,м³/с,вегетация
Токтогульское вдхр.,,2022-06-22,попуск,сред.,271.0,м³/с,вегетация
Токтогульское вдхр.,,2022-06-22,объем,сред.,11675.0,млн м³,вегетация
Сброс с Учкурганская ГЭС,,2022-06-22,Сброс,сред.,428.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-06-22,приток,сред.,381.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-06-22,приток,утро,383.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-22,попуск,сред.,500.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-22,попуск,утро,500.0,м³/с,вегетация
г/п Кызылкишлак,,2022-06-22,расход,сред.,456.0,м³/с,вегетация
г/п Кызылкишлак,,2022-06-22,расход,утро,456.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-22,объем,сред.,3423.0,млн м³,вегетация
Шардаринское вдхр.,Казгидромет,2022-06-22,приток,сред.,129.1,м³/с,вегетация
Шардаринское вдхр.,Узгидромет,2022-06-22,приток,сред.,231.1,м³/с,вегетация
Шардаринское вдхр.,,2022-06-22,попуск,сред.,550.0,м³/с,вегетация
Кызылкумский канал,,2022-06-22,расход,сред.,30.0,м³/с,вегетация
Шардаринское вдхр.,,2022-06-22,объем,сред.,4120.0,млн м³,вегетация
Чарвакское вдхр.,,2022-06-22,приток,сред.,326.0,м³/с,вегетация
река Угам,,2022-06-22,расход,сред.,21.4,м³/с,вегетация
Чарвакское вдхр.,,2022-06-22,попуск,сред.,330.0,м³/с,вегетация
сброс Газалкентской ГЭС,,2022-06-22,расход,сред.,356.0,м³/с,вегетация
Чарвакское вдхр.,,2022-06-22,объем,сред.,1971.0,млн м³,вегетация
Андижанское  вдхр.,,2022-06-22,приток,сред.,238.0,м³/с,вегетация
Андижанское  вдхр.,,2022-06-22,попуск,сред.,260.0,м³/с,вегетация
Андижанское  вдхр.,,2022-06-22,объем,сред.,1584.0,млн м³,вегетация
г/п Учтепа,,2022-06-22,расход,сред.,104.0,м³/с,вегетация
г/п Каль,,2022-06-22,расход,сред.,327.0,м³/с,вегетация
г/п Каль,,2022-06-22,расход,утро,383.0,м³/с,вегетация
Рейка 01 выше Фархад. Пл,,2022-06-22,расход,сред.,319.2,м³/с,вегетация
г/п Кокбулак,,2022-06-22,расход,сред.,135.0,м³/с,вегетация
г/п Келес,,2022-06-22,расход,сред.,21.1,м³/с,вегетация
Токтогульское вдхр.,,2022-06-23,приток,сред.,816.0,м³/с,вегетация
Токтогульское вдхр.,,2022-06-23,попуск,сред.,403.0,м³/с,вегетация
Токтогульское вдхр.,,2022-06-23,объем,сред.,11704.0,млн м³,вегетация
Сброс с Учкурганская ГЭС,,2022-06-23,Сброс,сред.,450.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-06-23,приток,сред.,386.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-06-23,приток,утро,399.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-23,попуск,сред.,500.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-23,попуск,утро,500.0,м³/с,вегетация
г/п Кызылкишлак,,2022-06-23,расход,сред.,456.0,м³/с,вегетация
г/п Кызылкишлак,,2022-06-23,расход,утро,456.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-23,объем,сред.,3423.0,млн м³,вегетация
Шардаринское вдхр.,Казгидромет,2022-06-23,приток,сред.,194.3,м³/с,вегетация
Шардаринское вдхр.,Узгидромет,2022-06-23,приток,сред.,215.3,м³/с,вегетация
Шардаринское вдхр.,,2022-06-23,попуск,сред.,550.0,м³/с,вегетация
Кызылкумский канал,,2022-06-23,расход,сред.,30.0,м³/с,вегетация
Шардаринское вдхр.,,2022-06-23,объем,сред.,4091.0,млн м³,вегетация
Чарвакское вдхр.,,2022-06-23,приток,сред.,360.0,м³/с,вегетация
река Угам,,2022-06-23,расход,сред.,23.0,м³/с,вегетация
Чарвакское вдхр.,,2022-06-23,попуск,сред.,330.0,м³/с,вегетация
сброс Газалкентской ГЭС,,2022-06-23,расход,сред.,351.0,м³/с,вегетация
Чарвакское вдхр.,,2022-06-23,объем,сред.,1977.0,млн м³,вегетация
Андижанское  вдхр.,,2022-06-23,приток,сред.,237.0,м³/с,вегетация
Андижанское  вдхр.,,2022-06-23,попуск,сред.,260.0,м³/с,вегетация
Андижанское  вдхр.,,2022-06-23,объем,сред.,1582.0,млн м³,вегетация
г/п Учтепа,,2022-06-23,расход,сред.,87.2,м³/с,вегетация
г/п Каль,,2022-06-23,расход,сред.,306.0,м³/с,вегетация
г/п Каль,,2022-06-23,расход,утро,315.0,м³/с,вегетация
Рейка 01 выше Фархад. Пл,,2022-06-23,расход,сред.,319.2,м³/с,вегетация
г/п Кокбулак,,2022-06-23,расход,сред.,175.0,м³/с,вегетация
г/п Келес,,2022-06-23,расход,сред.,19.3,м³/с,вегетация
Токтогульское вдхр.,,2022-06-24,приток,сред.,869.0,м³/с,вегетация
Токтогульское вдхр.,,2022-06-24,попуск,сред.,379.0,м³/с,вегетация
Токтогульское вдхр.,,2022-06-24,объем,сред.,11742.0,млн м³,вегетация
Сброс с Учкурганская ГЭС,,2022-06-24,Сброс,сред.,450.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-06-24,приток,сред.,386.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-06-24,приток,утро,394.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-24,попуск,сред.,500.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-24,попуск,утро,500.0,м³/с,вегетация
г/п Кызылкишлак,,2022-06-24,расход,сред.,459.0,м³/с,вегетация
г/п Кызылкишлак,,2022-06-24,расход,утро,456.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-24,объем,сред.,3408.0,млн м³,вегетация
Шардаринское вдхр.,Казгидромет,2022-06-24,приток,сред.,183.6,м³/с,вегетация
Шардаринское вдхр.,Узгидромет,2022-06-24,приток,сред.,181.6,м³/с,вегетация
Шардаринское вдхр.,,2022-06-24,попуск,сред.,542.0,м³/с,вегетация
Кызылкумский канал,,2022-06-24,расход,сред.,40.0,м³/с,вегетация
Шардаринское вдхр.,,2022-06-24,объем,сред.,4048.0,млн м³,вегетация
Чарвакское вдхр.,,2022-06-24,приток,сред.,382.0,м³/с,вегетация
река Угам,,2022-06-24,расход,сред.,23.6,м³/с,вегетация
Чарвакское вдхр.,,2022-06-24,попуск,сред.,364.0,м³/с,вегетация
сброс Газалкентской ГЭС,,2022-06-24,расход,сред.,390.0,м³/с,вегетация
Чарвакское вдхр.,,2022-06-24,объем,сред.,1990.0,млн м³,вегетация
Андижанское  вдхр.,,2022-06-24,приток,сред.,238.0,м³/с,вегетация
Андижанское  вдхр.,,2022-06-24,попуск,сред.,260.0,м³/с,вегетация
Андижанское  вдхр.,,2022-06-24,объем,сред.,1580.0,млн м³,вегетация
г/п Учтепа,,2022-06-24,расход,сред.,86.0,м³/с,вегетация
г/п Каль,,2022-06-24,расход,сред.,312.0,м³/с,вегетация
г/п Каль,,2022-06-24,расход,утро,360.0,м³/с,вегетация
Рейка 01 выше Фархад. Пл,,2022-06-24,расход,сред.,319.2,м³/с,вегетация
г/п Кокбулак,,2022-06-24,расход,сред.,165.0,м³/с,вегетация
г/п Келес,,2022-06-24,расход,сред.,18.6,м³/с,вегетация
Токтогульское вдхр.,,2022-06-25,приток,сред.,918.0,м³/с,вегетация
Токтогульское вдхр.,,2022-06-25,попуск,сред.,402.0,м³/с,вегетация
Токтогульское вдхр.,,2022-06-25,объем,сред.,11782.0,млн м³,вегетация
Сброс с Учкурганская ГЭС,,2022-06-25,Сброс,сред.,443.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-06-25,приток,сред.,378.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-06-25,приток,утро,394.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-25,попуск,сред.,500.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-25,попуск,утро,500.0,м³/с,вегетация
г/п Кызылкишлак,,2022-06-25,расход,сред.,461.0,м³/с,вегетация
г/п Кызылкишлак,,2022-06-25,расход,утро,459.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-25,объем,сред.,3398.0,млн м³,вегетация
Шардаринское вдхр.,Казгидромет,2022-06-25,приток,сред.,177.5,м³/с,вегетация
Шардаринское вдхр.,Узгидромет,2022-06-25,приток,сред.,178.5,м³/с,вегетация
Шардаринское вдхр.,,2022-06-25,попуск,сред.,542.0,м³/с,вегетация
Кызылкумский канал,,2022-06-25,расход,сред.,50.0,м³/с,вегетация
Шардаринское вдхр.,,2022-06-25,объем,сред.,3997.0,млн м³,вегетация
Чарвакское вдхр.,,2022-06-25,приток,сред.,410.0,м³/с,вегетация
река Угам,,2022-06-25,расход,сред.,26.5,м³/с,вегетация
Чарвакское вдхр.,,2022-06-25,попуск,сред.,444.0,м³/с,вегетация
сброс Газалкентской ГЭС,,2022-06-25,расход,сред.,363.0,м³/с,вегетация
Чарвакское вдхр.,,2022-06-25,объем,сред.,1994.0,млн м³,вегетация
Андижанское  вдхр.,,2022-06-25,приток,сред.,243.0,м³/с,вегетация
Андижанское  вдхр.,,2022-06-25,попуск,сред.,260.0,м³/с,вегетация
Андижанское  вдхр.,,2022-06-25,объем,сред.,1578.0,млн м³,вегетация
г/п Учтепа,,2022-06-25,расход,сред.,76.5,м³/с,вегетация
г/п Каль,,2022-06-25,расход,сред.,282.0,м³/с,вегетация
г/п Каль,,2022-06-25,расход,утро,339.0,м³/с,вегетация
Рейка 01 выше Фархад. Пл,,2022-06-25,расход,сред.,319.2,м³/с,вегетация
г/п Кокбулак,,2022-06-25,расход,сред.,160.0,м³/с,вегетация
г/п Келес,,2022-06-25,расход,сред.,17.5,м³/с,вегетация
Токтогульское вдхр.,,2022-06-26,приток,сред.,1023.0,м³/с,вегетация
Токтогульское вдхр.,,2022-06-26,попуск,сред.,403.0,м³/с,вегетация
Токтогульское вдхр.,,2022-06-26,объем,сред.,11829.0,млн м³,вегетация
Сброс с Учкурганская ГЭС,,2022-06-26,Сброс,сред.,435.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-06-26,приток,сред.,370.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-06-26,приток,утро,365.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-26,попуск,сред.,500.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-26,попуск,утро,500.0,м³/с,вегетация
г/п Кызылкишлак,,2022-06-26,расход,сред.,454.0,м³/с,вегетация
г/п Кызылкишлак,,2022-06-26,расход,утро,464.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-26,объем,сред.,3394.0,млн м³,вегетация
Шардаринское вдхр.,Казгидромет,2022-06-26,приток,сред.,178.7,м³/с,вегетация
Шардаринское вдхр.,Узгидромет,2022-06-26,приток,сред.,224.7,м³/с,вегетация
Шардаринское вдхр.,,2022-06-26,попуск,сред.,546.0,м³/с,вегетация
Кызылкумский канал,,2022-06-26,расход,сред.,50.0,м³/с,вегетация
Шардаринское вдхр.,,2022-06-26,объем,сред.,3961.0,млн м³,вегетация
Чарвакское вдхр.,,2022-06-26,приток,сред.,425.0,м³/с,вегетация
река Угам,,2022-06-26,расход,сред.,22.4,м³/с,вегетация
Чарвакское вдхр.,,2022-06-26,попуск,сред.,492.0,м³/с,вегетация
сброс Газалкентской ГЭС,,2022-06-26,расход,сред.,500.0,м³/с,вегетация
Чарвакское вдхр.,,2022-06-26,объем,сред.,1996.0,млн м³,вегетация
Андижанское  вдхр.,,2022-06-26,приток,сред.,261.0,м³/с,вегетация
Андижанское  вдхр.,,2022-06-26,попуск,сред.,270.0,м³/с,вегетация
Андижанское  вдхр.,,2022-06-26,объем,сред.,1576.0,млн м³,вегетация
г/п Учтепа,,2022-06-26,расход,сред.,73.5,м³/с,вегетация
г/п Каль,,2022-06-26,расход,сред.,273.0,м³/с,вегетация
г/п Каль,,2022-06-26,расход,утро,309.0,м³/с,вегетация
Рейка 01 выше Фархад. Пл,,2022-06-26,расход,сред.,319.2,м³/с,вегетация
г/п Кокбулак,,2022-06-26,расход,сред.,159.0,м³/с,вегетация
г/п Келес,,2022-06-26,расход,сред.,16.5,м³/с,вегетация
Токтогульское вдхр.,,2022-06-27,приток,сред.,1032.0,м³/с,вегетация
Токтогульское вдхр.,,2022-06-27,попуск,сред.,355.0,м³/с,вегетация
Токтогульское вдхр.,,2022-06-27,объем,сред.,11885.0,млн м³,вегетация
Сброс с Учкурганская ГЭС,,2022-06-27,Сброс,сред.,485.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-06-27,приток,сред.,358.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-06-27,приток,утро,368.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-27,попуск,сред.,500.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-27,попуск,утро,500.0,м³/с,вегетация
г/п Кызылкишлак,,2022-06-27,расход,сред.,461.0,м³/с,вегетация
г/п Кызылкишлак,,2022-06-27,расход,утро,464.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-27,объем,сред.,3384.0,млн м³,вегетация
Шардаринское вдхр.,Казгидромет,2022-06-27,приток,сред.,183.7,м³/с,вегетация
Шардаринское вдхр.,Узгидромет,2022-06-27,приток,сред.,262.7,м³/с,вегетация
Шардаринское вдхр.,,2022-06-27,попуск,сред.,523.0,м³/с,вегетация
Кызылкумский канал,,2022-06-27,расход,сред.,50.0,м³/с,вегетация
Шардаринское вдхр.,,2022-06-27,объем,сред.,3911.0,млн м³,вегетация
Чарвакское вдхр.,,2022-06-27,приток,сред.,447.0,м³/с,вегетация
река Угам,,2022-06-27,расход,сред.,21.4,м³/с,вегетация
Чарвакское вдхр.,,2022-06-27,попуск,сред.,497.0,м³/с,вегетация
сброс Газалкентской ГЭС,,2022-06-27,расход,сред.,508.0,м³/с,вегетация
Чарвакское вдхр.,,2022-06-27,объем,сред.,1999.0,млн м³,вегетация
Андижанское  вдхр.,,2022-06-27,приток,сред.,261.0,м³/с,вегетация
Андижанское  вдхр.,,2022-06-27,попуск,сред.,270.0,м³/с,вегетация
Андижанское  вдхр.,,2022-06-27,объем,сред.,1575.0,млн м³,вегетация
г/п Учтепа,,2022-06-27,расход,сред.,81.0,м³/с,вегетация
г/п Каль,,2022-06-27,расход,сред.,270.0,м³/с,вегетация
г/п Каль,,2022-06-27,расход,утро,292.0,м³/с,вегетация
Рейка 01 выше Фархад. Пл,,2022-06-27,расход,сред.,319.2,м³/с,вегетация
г/п Кокбулак,,2022-06-27,расход,сред.,167.0,м³/с,вегетация
г/п Келес,,2022-06-27,расход,сред.,16.7,м³/с,вегетация
Токтогульское вдхр.,,2022-06-28,приток,сред.,1162.0,м³/с,вегетация
Токтогульское вдхр.,,2022-06-28,попуск,сред.,381.0,м³/с,вегетация
Токтогульское вдхр.,,2022-06-28,объем,сред.,11943.0,млн м³,вегетация
Сброс с Учкурганская ГЭС,,2022-06-28,Сброс,сред.,467.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-06-28,приток,сред.,363.0,м³/с,вегетация
Бахри   Точик вдхр. (г/п Акжар),,2022-06-28,приток,утро,348.0,м³/с,вегетация
Бахри   Точик вдхр.,,2022-06-28,попуск,сред.,500.0,м³/с,вегетация
